Petroleum Experts,Move v1.1
Vertex Data,Vertex Data,Vertex Data,Orientation Data,Orientation Data,Orientation Data,Container
Real,Real,Real,Real,Real,Real,Text
X(East),Y(North),Z,dip,azimuth,strike,Object Name
#FF0000,#00FF00,#0000FF,#FFFFFF,#FFFFFF,#FFFFFF,#3F3B1F
metre,metre,metre,degree,degree,degree,
xy,xy,elevation,orientation,orientation,orientation,
1617906.443192,5293046.074357,-21885.432847,55.346413,316.440735,226.440735,Hundalee
1617830.888626,5292523.778787,-21418.220226,55.009148,316.049164,226.049164,Hundalee
1618458.403557,5292677.094215,-20964.713027,54.496017,316.856628,226.856628,Hundalee
1618859.295252,5293290.994465,-21225.907923,55.585571,318.193115,228.193115,Hundalee
1618541.461031,5293470.550564,-21719.657501,54.323124,318.321838,228.321838,Hundalee
1618861.704483,5294064.482891,-22061.598633,55.754219,319.757874,229.757874,Hundalee
1618558.333636,5294196.212899,-22484.277027,53.880417,320.408875,230.408875,Hundalee
1618605.612814,5294640.718431,-22919.476279,54.567116,320.835785,230.835785,Hundalee
1618078.858461,5294436.394265,-23185.154820,55.721638,318.528290,228.528290,Hundalee
1618031.579284,5293991.888732,-22749.955568,55.091675,317.972260,227.972260,Hundalee
1617635.938136,5293631.480786,-22757.713792,54.866264,316.479553,226.479553,Hundalee
1617056.248033,5293570.212180,-23264.395871,55.074535,316.324005,226.324005,Hundalee
1616653.397974,5293104.579224,-23184.120005,54.966774,315.851257,225.851257,Hundalee
1616923.407367,5292832.976303,-22637.195547,55.032360,315.870117,225.870117,Hundalee
1617562.016553,5293165.690239,-22349.795834,54.889553,316.500946,226.500946,Hundalee
1616666.344349,5292302.701108,-22349.082620,55.025093,315.855103,225.855103,Hundalee
1616016.034060,5291968.719846,-22652.958876,54.986843,315.943146,225.943146,Hundalee
1615769.652339,5291462.056555,-22375.600270,55.156593,316.291992,226.291992,Hundalee
1615119.925869,5291226.274207,-22798.537764,55.552845,314.119049,224.119049,Hundalee
1614859.445614,5290710.914132,-22598.425980,52.866917,309.535797,219.535797,Hundalee
1615289.038202,5290573.920979,-22007.898113,57.161533,310.252167,220.252167,Hundalee
1615878.771572,5291088.785390,-21880.681987,55.057369,316.256042,226.256042,Hundalee
1616175.281572,5291015.466324,-21513.370833,54.840916,316.385956,226.385956,Hundalee
1616126.485178,5290489.905445,-21018.674721,55.032883,316.515839,226.515839,Hundalee
1616603.301033,5290597.226172,-20659.054350,55.172775,316.354401,226.354401,Hundalee
1616906.494585,5291112.051910,-20890.108388,54.997036,315.920288,225.920288,Hundalee
1616649.812612,5291377.506683,-21417.319133,54.988689,315.921478,225.921478,Hundalee
1616928.612811,5291957.331450,-21734.346799,54.961254,315.859894,225.859894,Hundalee
1617483.796128,5292102.384334,-21330.828213,54.995396,315.809235,225.809235,Hundalee
1617668.702077,5291597.693316,-20629.367599,55.044258,315.840607,225.840607,Hundalee
1617370.200733,5291187.185660,-20505.675441,55.041939,315.819977,225.819977,Hundalee
1617552.750252,5290787.137147,-19914.267578,54.960976,315.745728,225.745728,Hundalee
1618031.808265,5290908.579945,-19562.267279,54.906891,315.811523,225.811523,Hundalee
1618451.302410,5291496.343717,-19748.789641,55.046120,316.039398,226.039398,Hundalee
1618270.745740,5291785.408576,-20224.482098,54.918312,316.043060,226.043060,Hundalee
1618713.354722,5292443.415022,-20472.435512,55.460712,316.929840,226.929840,Hundalee
1619402.345381,5292707.036425,-20085.423012,54.575127,318.061890,228.061890,Hundalee
1619854.820399,5293244.529925,-20258.278150,55.805580,321.815796,231.815796,Hundalee
1620534.117574,5293446.720386,-19903.901483,54.481747,324.277039,234.277039,Hundalee
1620891.088332,5293937.044604,-20180.599655,55.262985,325.642029,235.642029,Hundalee
1621481.152968,5294155.850669,-19959.081107,55.312763,325.434906,235.434906,Hundalee
1621704.094411,5294687.294269,-20406.275015,55.178860,325.282410,235.282410,Hundalee
1621273.533029,5294798.985637,-20890.095231,55.113300,325.326630,235.326630,Hundalee
1620731.638147,5294292.032841,-20731.661097,55.132809,325.631897,235.631897,Hundalee
1620336.691431,5294308.801997,-21070.601115,55.050758,325.732513,235.732513,Hundalee
1620268.842530,5294713.362191,-21603.356368,55.018452,325.722778,235.722778,Hundalee
1619722.156544,5294672.982778,-22002.418208,55.316074,325.073120,235.073120,Hundalee
1619437.164618,5294312.902098,-21823.011701,54.740093,323.440887,233.440887,Hundalee
1619824.347349,5294022.784078,-21161.648192,55.203117,323.517303,233.517303,Hundalee
1619566.721436,5293594.808771,-20906.485546,54.217388,321.448883,231.448883,Hundalee
1619615.044119,5295031.170601,-22512.775090,55.071449,324.930511,234.930511,Hundalee
1620116.387051,5295410.027464,-22552.287983,55.137524,325.940125,235.940125,Hundalee
1620187.880131,5295818.139516,-22980.635333,55.188988,325.970306,235.970306,Hundalee
1620796.783615,5296180.915609,-22917.351728,55.173431,325.384186,235.384186,Hundalee
1620846.620795,5296558.941418,-23322.467842,55.040634,325.285736,235.285736,Hundalee
1620313.258262,5296572.390471,-23773.563781,55.121067,325.220428,235.220428,Hundalee
1619786.318951,5296229.787332,-23794.107776,55.217445,326.050873,236.050873,Hundalee
1619710.778001,5295853.562186,-23406.295443,55.140980,325.999390,235.999390,Hundalee
1619076.235042,5295438.270305,-23439.758563,54.969551,324.235291,234.235291,Hundalee
1619051.994241,5295023.990772,-22974.585560,55.530750,324.546356,234.546356,Hundalee
1618645.961150,5295478.578169,-23840.797882,54.389385,324.525238,234.525238,Hundalee
1618672.813725,5295928.846872,-24337.610798,54.946880,324.833984,234.833984,Hundalee
1618130.670103,5295741.777522,-24588.051881,56.151119,322.230011,232.230011,Hundalee
1617842.591446,5295204.556754,-24239.837930,54.263546,320.662506,230.662506,Hundalee
1618116.778217,5295084.608916,-23857.426058,55.845230,320.109039,230.109039,Hundalee
1617842.945273,5294570.613043,-23552.292367,54.389305,318.848389,228.848389,Hundalee
1617256.440214,5294329.414902,-23855.285442,55.193394,317.283386,227.283386,Hundalee
1616890.697017,5293910.592829,-23778.169305,54.855953,316.205597,226.205597,Hundalee
1616256.872997,5293588.131164,-24074.364522,55.065090,315.866180,225.866180,Hundalee
